ZH MM WENGISTRASSE;Wengistrasse 7  ;8004 Zürich;8004;8.52327977;47.37490641
ZH WERDSTRASSE;Werdstrasse 36  ;8004 Zürich;8004;8.52950092;47.37284191
ZH SIHLHALLEN;Sihlhallenstrasse 5 -7 ;8004 Zürich;8004;8.52705538;47.37953039
ZH JOSEFSTRASSE;Josefstrasse 92  ;8005 Zürich;8005;8.53091841;47.38321792
ZH LIMMATPLATZ;Fierzgasse 18  ;8005 Zürich;8005;8.5319647;47.38386467
ZH WINTERTHURERSTRASSE;Winterthurerstrasse 83  ;8006 Zürich;8006;8.5452046;47.3906829
ZH KREUZSTRASSE;Kreuzstrasse 40  ;8008 Zürich;8008;8.55042353;47.36337739
ZH KREUZPLATZ;Apollostrasse 2  ;8032 Zürich;8032;8.55556992;47.36447014
ZH WOLLISHOFEN;Etzelstrasse 6  ;8038 Zürich;8038;8.53069364;47.34444178
ZH WOLLISHOFEN;Albisstrasse 81  ;8038 Zürich;8038;8.53066154;47.34093393
ZH UETLIBERGSTRASSE;Uetlibergstrasse 102  ;8045 Zürich;8045;8.51766576;47.36184403
ZH BRUNAUPARK;Giesshübelstrasse 65  ;8045 Zürich;8045;8.51806927;47.35823319
ZH IN BÖDEN;In Böden 174  ;8046 Zürich;8046;8.50806733;47.41992458
ZH BOCKHORNSTRASSE;Bockhornstrasse 1  ;8047 Zürich;8047;8.48379075;47.37615189
ZH ALTSTETTEN NM;Altstetterstrasse 145  ;8048 Zürich;8048;8.48710373;47.38840015
ZH LETZIPARK;Baslerstrasse 50  ;8048 Zürich;8048;8.49877164;47.38635077
ZH HOHLSTRASSE;Hohlstrasse 610  ;8048 Zürich;8048;8.48491088;47.39207201
ZH LINDENPLATZ;Lindenplatz 4  ;8048 Zürich;8048;8.48598091;47.38720499
Zürich - Höngg;Regensdorferstrasse 2  ;8049 Zürich;8049;8.49921249;47.40251983
ZH REGENSBERGSTR.;Regensbergstrasse 309  ;8050 Zürich;8050;8.52645992;47.41136065
ZH OERLIKON NM;Hofwiesenstrasse 350  ;8050 Zürich;8050;8.54258127;47.41047924
Zürich - Überlandstrasse;Ueberlandstrasse 439  ;8051 Zürich;8051;8.59205316;47.40589447
ZH SCHWAMENDINGEN;Winterthurerstrasse 524  ;8051 Zürich;8051;8.57265354;47.40392756
ZH SCHWAMENDINGEN;Winterthurerstrasse 549  ;8051 Zürich;8051;8.57457636;47.4046283
ZH SEEBACH;Schaffhauserstrasse 491  ;8052 Zürich;8052;8.54904036;47.42094162
ZH WITIKON-ZENTRUM;Witikonerstrasse 299  ;8053 Zürich;8053;8.58626637;47.35867312
ZH HEURIED;Birmensdorferstrasse 406  ;8055 Zürich;8055;8.50295951;47.36923056
ZH WIEDIKER-MÄRT;Birmensdorferstrasse 320  ;8055 Zürich;8055;8.50843031;47.37001658
ZH BUCHEGGPLATZ;Hofwiesenstrasse 135  ;8057 Zürich;8057;8.53280646;47.39906745
